season,week,away,home,score_away,score_home,home_score_rolling,home_first_downs_rolling,home_first_downs_from_passing_rolling,home_first_downs_from_rushing_rolling,home_first_downs_from_penalty_rolling,home_third_down_comp_rolling,home_third_down_att_rolling,home_fourth_down_comp_rolling,home_fourth_down_att_rolling,home_plays_rolling,home_drives_rolling,home_yards_rolling,home_pass_comp_rolling,home_pass_att_rolling,home_pass_yards_rolling,home_sacks_num_rolling,home_sacks_yards_rolling,home_rush_att_rolling,home_rush_yards_rolling,home_pen_num_rolling,home_pen_yards_rolling,home_redzone_comp_rolling,home_redzone_att_rolling,home_fumbles_rolling,home_interceptions_rolling,home_def_st_td_rolling,home_possession_sec_rolling,away_score_rolling,away_first_downs_rolling,away_first_downs_from_passing_rolling,away_first_downs_from_rushing_rolling,away_first_downs_from_penalty_rolling,away_third_down_comp_rolling,away_third_down_att_rolling,away_fourth_down_comp_rolling,away_fourth_down_att_rolling,away_plays_rolling,away_drives_rolling,away_yards_rolling,away_pass_comp_rolling,away_pass_att_rolling,away_pass_yards_rolling,away_sacks_num_rolling,away_sacks_yards_rolling,away_rush_att_rolling,away_rush_yards_rolling,away_pen_num_rolling,away_pen_yards_rolling,away_redzone_comp_rolling,away_redzone_att_rolling,away_fumbles_rolling,away_interceptions_rolling,away_def_st_td_rolling,away_possession_sec_rolling,home_win
2002,2,Packers,Saints,20,35,26.0,21.0,13.0,6.0,2.0,10.0,20.0,0.0,0.0,78.0,4.0,368.0,24.0,42.0,250.0,2.0,10.0,34.0,118.0,5.0,45.0,0.0,1.0,0.0,1.0,2.0,2441.0,37.0,29.0,15.0,12.0,2.0,8.0,15.0,1.0,1.0,71.0,17.0,454.0,25.0,36.0,273.0,2.0,11.0,33.0,181.0,3.0,15.0,0.0,9.0,1.0,0.0,0.0,2330.0,1
2002,2,Buccaneers,Ravens,25,0,7.0,15.0,10.0,5.0,0.0,5.0,14.0,0.0,0.0,55.0,13.0,289.0,20.0,34.0,212.0,2.0,6.0,19.0,77.0,6.0,45.0,0.0,3.0,0.0,1.0,0.0,1569.0,20.0,19.0,12.0,5.0,2.0,7.0,19.0,0.0,1.0,77.0,4.0,333.0,28.0,53.0,261.0,3.0,17.0,21.0,72.0,8.0,85.0,0.0,2.0,0.0,1.0,0.0,1889.0,0
2002,2,Lions,Panthers,7,31,10.0,15.0,7.0,6.0,2.0,5.0,14.0,0.0,0.0,57.0,12.0,265.0,12.0,19.0,120.0,2.0,16.0,36.0,145.0,6.0,35.0,0.0,2.0,0.0,0.0,0.0,2031.0,21.0,15.0,10.0,4.0,1.0,7.0,14.0,0.0,1.0,58.0,18.0,257.0,17.0,36.0,206.0,3.0,14.0,19.0,51.0,6.0,68.0,0.0,6.0,1.0,1.0,0.0,1536.0,1
2002,2,Jaguars,Chiefs,23,16,40.0,24.0,12.0,10.0,2.0,5.0,11.0,0.0,0.0,59.0,20.0,470.0,20.0,29.0,276.0,0.0,0.0,30.0,194.0,9.0,87.0,0.0,10.0,0.0,1.0,0.0,1816.0,25.0,19.0,11.0,8.0,0.0,8.0,16.0,3.0,3.0,69.0,16.0,343.0,22.0,36.0,225.0,1.0,3.0,32.0,118.0,5.0,40.0,0.0,8.0,1.0,1.0,0.0,1953.0,0
2002,2,Patriots,Jets,44,7,37.0,18.0,11.0,4.0,3.0,2.0,8.0,0.0,0.0,47.0,17.0,266.0,24.0,30.0,193.0,3.0,17.0,14.0,73.0,10.0,90.0,0.0,9.0,1.0,0.0,2.0,1266.0,30.0,20.0,14.0,2.0,4.0,5.0,13.0,0.0,0.0,63.0,14.0,343.0,29.0,43.0,280.0,2.0,14.0,18.0,63.0,7.0,88.0,0.0,4.0,1.0,0.0,0.0,1769.0,0
2002,2,Titans,Cowboys,13,21,10.0,11.0,5.0,5.0,1.0,2.0,13.0,0.0,0.0,57.0,18.0,267.0,13.0,30.0,112.0,3.0,19.0,24.0,155.0,9.0,117.0,0.0,2.0,1.0,1.0,0.0,1565.0,27.0,22.0,15.0,3.0,4.0,6.0,10.0,0.0,0.0,60.0,16.0,328.0,24.0,34.0,267.0,1.0,2.0,25.0,61.0,6.0,50.0,0.0,7.0,3.0,1.0,0.0,1848.0,1
2002,2,Bengals,Browns,7,20,39.0,24.0,19.0,2.0,3.0,4.0,11.0,0.0,0.0,61.0,17.0,411.0,28.0,40.0,352.0,1.0,7.0,20.0,59.0,4.0,38.0,0.0,10.0,1.0,0.0,0.0,1784.0,6.0,13.0,8.0,2.0,3.0,4.0,11.0,0.0,0.0,48.0,15.0,203.0,18.0,31.0,167.0,4.0,31.0,13.0,36.0,9.0,57.0,0.0,5.0,0.0,1.0,0.0,1332.0,1
2002,2,Bears,Falcons,14,13,34.0,22.0,9.0,13.0,0.0,4.0,8.0,0.0,0.0,57.0,15.0,374.0,15.0,23.0,194.0,4.0,15.0,30.0,180.0,4.0,82.0,0.0,8.0,1.0,0.0,0.0,1855.0,27.0,20.0,12.0,6.0,2.0,7.0,13.0,0.0,0.0,60.0,17.0,368.0,20.0,33.0,288.0,1.0,9.0,26.0,80.0,4.0,33.0,0.0,6.0,1.0,1.0,0.0,1709.0,0
2002,2,Dolphins,Colts,21,13,28.0,18.0,13.0,5.0,0.0,9.0,14.0,0.0,0.0,60.0,17.0,307.0,19.0,31.0,203.0,1.0,8.0,28.0,104.0,2.0,14.0,0.0,6.0,2.0,0.0,2.0,1647.0,49.0,27.0,15.0,11.0,1.0,6.0,12.0,1.0,1.0,68.0,16.0,389.0,18.0,27.0,207.0,0.0,0.0,41.0,182.0,4.0,54.0,0.0,8.0,0.0,0.0,2.0,2064.0,0
2002,2,Giants,Rams,26,21,16.0,15.0,10.0,3.0,2.0,3.0,12.0,0.0,1.0,57.0,5.0,327.0,32.0,41.0,295.0,3.0,20.0,13.0,32.0,6.0,44.0,0.0,2.0,1.0,1.0,0.0,1906.0,13.0,21.0,17.0,2.0,2.0,9.0,16.0,0.0,1.0,70.0,15.0,361.0,28.0,45.0,318.0,3.0,24.0,22.0,43.0,10.0,80.0,0.0,6.0,0.0,3.0,0.0,1948.0,0
