season,week,date,time_et,neutral,team,location,score_rolling,first_downs_rolling,first_downs_from_passing_rolling,first_downs_from_rushing_rolling,first_downs_from_penalty_rolling,third_down_comp_rolling,third_down_att_rolling,fourth_down_comp_rolling,fourth_down_att_rolling,plays_rolling,drives_rolling,yards_rolling,pass_comp_rolling,pass_att_rolling,pass_yards_rolling,sacks_num_rolling,sacks_yards_rolling,rush_att_rolling,rush_yards_rolling,pen_num_rolling,pen_yards_rolling,redzone_comp_rolling,redzone_att_rolling,fumbles_rolling,interceptions_rolling,def_st_td_rolling,possession_sec_rolling
2002,1,2002-09-05,8:30 PM,False,49ers,away,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,2,2002-09-15,4:15 PM,False,49ers,home,16.0,13.0,7.0,5.0,1.0,4.0,12.0,0.0,0.0,51.0,13.0,279.0,16.0,26.0,166.0,0.0,0.0,25.0,113.0,5.0,29.0,0.0,8.0,0.0,1.0,0.0,1652.0
2002,3,2002-09-22,4:15 PM,False,49ers,home,15.0,15.5,9.0,6.0,0.5,6.0,12.5,0.0,0.0,54.5,13.5,270.0,21.5,31.0,178.0,1.0,7.5,22.5,92.0,7.5,71.5,0.0,6.5,0.5,1.0,0.0,1706.0
2002,5,2002-10-06,4:15 PM,False,49ers,home,16.667,17.667,8.333,9.0,0.333,6.0,13.0,0.0,0.0,60.0,14.0,302.0,19.333,30.0,156.667,1.333,8.667,28.667,145.333,6.667,64.333,0.0,6.0,0.333,1.0,0.0,1855.667
2002,6,2002-10-14,9:00 PM,False,49ers,away,23.667,20.333,9.333,10.667,0.333,6.0,12.0,0.0,0.0,61.333,14.0,337.667,20.0,30.333,170.333,1.667,11.0,29.333,167.333,6.333,63.667,0.0,5.667,0.333,0.667,0.667,1887.0
2002,7,2002-10-20,1:00 PM,False,49ers,away,28.333,22.333,9.0,11.667,1.667,5.667,11.667,0.0,0.0,62.667,13.0,367.667,16.333,28.0,170.333,1.667,10.0,33.0,197.333,5.667,42.667,0.0,6.333,0.0,0.333,0.667,1890.667
2002,8,2002-10-27,4:05 PM,False,49ers,home,30.667,23.667,13.0,9.0,1.667,6.667,11.0,0.0,0.0,60.333,13.333,385.0,19.0,31.667,224.0,1.0,6.333,27.667,161.0,5.667,40.0,0.0,7.667,0.333,0.333,0.667,1772.0
2002,9,2002-11-03,4:15 PM,False,49ers,away,31.0,22.667,13.0,7.667,2.0,7.333,12.0,0.333,0.333,61.333,14.0,375.333,19.0,32.0,239.0,1.0,4.0,28.333,136.333,5.333,39.333,0.0,7.333,0.333,0.333,0.0,1741.0
2002,10,2002-11-10,4:15 PM,False,49ers,home,29.333,24.667,14.0,9.0,1.667,9.333,14.667,0.667,0.667,68.667,15.0,403.0,22.0,34.333,269.667,0.333,0.0,34.0,133.333,3.667,35.667,0.0,7.667,0.667,0.333,0.0,2041.667
2002,11,2002-11-17,4:05 PM,False,49ers,away,26.0,23.333,11.0,10.667,1.667,10.0,16.667,1.0,1.0,71.667,13.667,371.333,22.667,33.0,234.0,1.333,2.333,37.333,137.333,3.0,26.667,0.0,6.667,0.333,0.333,0.0,2213.333
2002,12,2002-11-25,9:00 PM,False,49ers,home,19.0,24.333,12.667,10.0,1.667,10.667,18.667,1.0,1.0,77.333,13.667,408.0,25.0,38.0,260.333,1.333,4.333,38.0,147.667,4.667,42.0,0.0,5.333,0.333,0.667,0.0,2376.0
2002,13,2002-12-01,4:15 PM,False,49ers,home,17.0,22.333,14.0,7.333,1.0,9.333,18.667,1.0,2.0,77.667,15.333,399.667,28.667,47.0,268.0,2.667,15.0,28.0,131.667,6.667,57.333,0.0,6.0,0.0,0.667,0.0,2132.333
